date,store_id,item_id,sales,price,promo,weekday,month
2019-01-01,store_1,item_1,41,21.3,0,1,1
2019-01-02,store_1,item_1,53,21.3,0,2,1
2019-01-03,store_1,item_1,39,21.3,0,3,1
2019-01-04,store_1,item_1,35,21.3,0,4,1
2019-01-05,store_1,item_1,51,17.04,1,5,1
2019-01-06,store_1,item_1,38,21.3,0,6,1
2019-01-07,store_1,item_1,45,21.3,0,0,1
2019-01-08,store_1,item_1,48,21.3,0,1,1
2019-01-09,store_1,item_1,50,21.3,0,2,1
2019-01-10,store_1,item_1,44,21.3,0,3,1
2019-01-11,store_1,item_1,38,21.3,0,4,1
2019-01-12,store_1,item_1,30,21.3,0,5,1
2019-01-13,store_1,item_1,48,17.04,1,6,1
2019-01-14,store_1,item_1,40,21.3,0,0,1
2019-01-15,store_1,item_1,46,21.3,0,1,1
2019-01-16,store_1,item_1,47,21.3,0,2,1
2019-01-17,store_1,item_1,46,21.3,0,3,1
2019-01-18,store_1,item_1,40,21.3,0,4,1
2019-01-19,store_1,item_1,33,21.3,0,5,1
2019-01-20,store_1,item_1,39,21.3,0,6,1
2019-01-21,store_1,item_1,38,21.3,0,0,1
2019-01-22,store_1,item_1,47,21.3,0,1,1
2019-01-23,store_1,item_1,48,21.3,0,2,1
2019-01-24,store_1,item_1,40,21.3,0,3,1
2019-01-25,store_1,item_1,38,21.3,0,4,1
2019-01-26,store_1,item_1,34,21.3,0,5,1
2019-01-27,store_1,item_1,40,21.3,0,6,1
2019-01-28,store_1,item_1,44,21.3,0,0,1
2019-01-29,store_1,item_1,46,21.3,0,1,1
2019-01-30,store_1,item_1,57,21.3,0,2,1
2019-01-31,store_1,item_1,50,21.3,0,3,1
2019-02-01,store_1,item_1,41,21.3,0,4,2
2019-02-02,store_1,item_1,34,21.3,0,5,2
2019-02-03,store_1,item_1,34,21.3,0,6,2
2019-02-04,store_1,item_1,64,17.04,1,0,2
2019-02-05,store_1,item_1,54,21.3,0,1,2
2019-02-06,store_1,item_1,58,21.3,0,2,2
2019-02-07,store_1,item_1,53,21.3,0,3,2
2019-02-08,store_1,item_1,39,21.3,0,4,2
2019-02-09,store_1,item_1,50,17.04,1,5,2
2019-02-10,store_1,item_1,57,17.04,1,6,2
2019-02-11,store_1,item_1,39,21.3,0,0,2
2019-02-12,store_1,item_1,53,21.3,0,1,2
2019-02-13,store_1,item_1,53,21.3,0,2,2
2019-02-14,store_1,item_1,48,21.3,0,3,2
2019-02-15,store_1,item_1,37,21.3,0,4,2
2019-02-16,store_1,item_1,38,21.3,0,5,2
2019-02-17,store_1,item_1,37,21.3,0,6,2
2019-02-18,store_1,item_1,42,21.3,0,0,2
2019-02-19,store_1,item_1,45,21.3,0,1,2
2019-02-20,store_1,item_1,82,17.04,1,2,2
2019-02-21,store_1,item_1,56,21.3,0,3,2
2019-02-22,store_1,item_1,47,21.3,0,4,2
2019-02-23,store_1,item_1,36,21.3,0,5,2
2019-02-24,store_1,item_1,57,17.04,1,6,2
2019-02-25,store_1,item_1,48,21.3,0,0,2
2019-02-26,store_1,item_1,51,21.3,0,1,2
2019-02-27,store_1,item_1,57,21.3,0,2,2
2019-02-28,store_1,item_1,53,21.3,0,3,2
2019-03-01,store_1,item_1,47,21.3,0,4,3
2019-03-02,store_1,item_1,38,21.3,0,5,3
2019-03-03,store_1,item_1,39,21.3,0,6,3
2019-03-04,store_1,item_1,45,21.3,0,0,3
2019-03-05,store_1,item_1,53,21.3,0,1,3
2019-03-06,store_1,item_1,56,21.3,0,2,3
2019-03-07,store_1,item_1,53,21.3,0,3,3
2019-03-08,store_1,item_1,46,21.3,0,4,3
2019-03-09,store_1,item_1,36,21.3,0,5,3
2019-03-10,store_1,item_1,45,21.3,0,6,3
2019-03-11,store_1,item_1,47,21.3,0,0,3
2019-03-12,store_1,item_1,56,21.3,0,1,3
2019-03-13,store_1,item_1,55,21.3,0,2,3
2019-03-14,store_1,item_1,45,21.3,0,3,3
2019-03-15,store_1,item_1,47,21.3,0,4,3
2019-03-16,store_1,item_1,41,21.3,0,5,3
2019-03-17,store_1,item_1,40,21.3,0,6,3
2019-03-18,store_1,item_1,49,21.3,0,0,3
2019-03-19,store_1,item_1,58,21.3,0,1,3
2019-03-20,store_1,item_1,82,17.04,1,2,3
2019-03-21,store_1,item_1,51,21.3,0,3,3
2019-03-22,store_1,item_1,47,21.3,0,4,3
2019-03-23,store_1,item_1,35,21.3,0,5,3
2019-03-24,store_1,item_1,63,17.04,1,6,3
2019-03-25,store_1,item_1,45,21.3,0,0,3
2019-03-26,store_1,item_1,58,21.3,0,1,3
2019-03-27,store_1,item_1,58,21.3,0,2,3
2019-03-28,store_1,item_1,48,21.3,0,3,3
2019-03-29,store_1,item_1,48,21.3,0,4,3
2019-03-30,store_1,item_1,37,21.3,0,5,3
2019-03-31,store_1,item_1,39,21.3,0,6,3
2019-04-01,store_1,item_1,50,21.3,0,0,4
2019-04-02,store_1,item_1,60,21.3,0,1,4
2019-04-03,store_1,item_1,85,17.04,1,2,4
2019-04-04,store_1,item_1,53,21.3,0,3,4
2019-04-05,store_1,item_1,46,21.3,0,4,4
2019-04-06,store_1,item_1,42,21.3,0,5,4
2019-04-07,store_1,item_1,42,21.3,0,6,4
2019-04-08,store_1,item_1,48,21.3,0,0,4
2019-04-09,store_1,item_1,54,21.3,0,1,4
2019-04-10,store_1,item_1,59,21.3,0,2,4
2019-04-11,store_1,item_1,50,21.3,0,3,4
2019-04-12,store_1,item_1,36,21.3,0,4,4
2019-04-13,store_1,item_1,41,21.3,0,5,4
2019-04-14,store_1,item_1,44,21.3,0,6,4
2019-04-15,store_1,item_1,42,21.3,0,0,4
2019-04-16,store_1,item_1,53,21.3,0,1,4
2019-04-17,store_1,item_1,60,21.3,0,2,4
2019-04-18,store_1,item_1,59,21.3,0,3,4
2019-04-19,store_1,item_1,44,21.3,0,4,4
2019-04-20,store_1,item_1,37,21.3,0,5,4
2019-04-21,store_1,item_1,40,21.3,0,6,4
2019-04-22,store_1,item_1,53,21.3,0,0,4
2019-04-23,store_1,item_1,54,21.3,0,1,4
2019-04-24,store_1,item_1,55,21.3,0,2,4
2019-04-25,store_1,item_1,51,21.3,0,3,4
2019-04-26,store_1,item_1,41,21.3,0,4,4
2019-04-27,store_1,item_1,39,21.3,0,5,4
2019-04-28,store_1,item_1,45,21.3,0,6,4
